epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,28.5285,0.87092,1.12346,1.01356,0.98831,1,0.995,0.60192,1.72204,1.82665,1.69054,0.000999282,0.000999282,0.000999282
45,29.0325,0.75667,1.03369,0.96481,0.98831,1,0.995,0.60192,1.72204,1.82665,1.69054,0.00100463,0.00100463,0.00100463
46,29.5902,0.90761,1.05717,1.07031,0.99208,1,0.995,0.68889,1.46205,1.66809,1.47908,0.00100919,0.00100919,0.00100919
47,30.1101,0.81388,1.15845,1.04448,0.99208,1,0.995,0.68889,1.46205,1.66809,1.47908,0.00101296,0.00101296,0.00101296
48,30.7027,0.80721,1.33146,1.07174,0.99248,1,0.995,0.69102,1.26395,1.40631,1.28488,0.00101593,0.00101593,0.00101593
49,31.2343,0.66479,1.01631,0.96088,0.99248,1,0.995,0.69102,1.26395,1.40631,1.28488,0.00101811,0.00101811,0.00101811
50,31.7684,0.75245,1.04176,0.96902,0.98882,1,0.995,0.77329,0.89885,1.48855,1.05939,0.0010195,0.0010195,0.0010195
51,32.271,0.66061,1.08226,0.95834,0.98882,1,0.995,0.77329,0.89885,1.48855,1.05939,0.00101,0.00101,0.00101
52,32.8452,0.72365,1.22273,0.97067,0.9914,1,0.995,0.77694,1.00685,1.37711,1.08309,0.0009902,0.0009902,0.0009902
53,33.3801,0.82079,1.05383,1.00097,0.9914,1,0.995,0.77694,1.00685,1.37711,1.08309,0.0009704,0.0009704,0.0009704
54,33.9414,0.89694,1.15185,1.0832,0.99033,1,0.995,0.67909,1.29569,1.41067,1.18244,0.0009506,0.0009506,0.0009506
55,34.479,1.12748,1.29158,1.22246,0.99033,1,0.995,0.67909,1.29569,1.41067,1.18244,0.0009308,0.0009308,0.0009308
56,35.0326,0.83675,0.96824,0.96691,1,0.98769,0.995,0.70144,1.14929,1.53478,1.11143,0.000911,0.000911,0.000911
57,35.5483,0.81021,1.16721,1.02176,1,0.98769,0.995,0.70144,1.14929,1.53478,1.11143,0.0008912,0.0008912,0.0008912
58,36.085,0.7748,1.01469,1.05468,0.99869,1,0.995,0.75493,1.0498,1.35833,1.07428,0.0008714,0.0008714,0.0008714
59,36.6055,0.81662,1.07635,1.06651,0.99869,1,0.995,0.75493,1.0498,1.35833,1.07428,0.0008516,0.0008516,0.0008516
60,37.1729,0.76572,0.91549,1.0122,0.99247,1,0.995,0.74106,1.16134,1.23751,1.10587,0.0008318,0.0008318,0.0008318
61,37.6709,0.74789,1.03676,1.00895,0.99247,1,0.995,0.74106,1.16134,1.23751,1.10587,0.000812,0.000812,0.000812
62,38.2245,0.81008,1.07926,0.99636,0.99286,1,0.995,0.78502,0.92052,1.12745,1.00248,0.0007922,0.0007922,0.0007922
63,38.7604,0.84333,0.95167,1.00368,0.99286,1,0.995,0.78502,0.92052,1.12745,1.00248,0.0007724,0.0007724,0.0007724
64,39.3666,0.54759,1.01169,0.92147,0.99341,1,0.995,0.8484,0.75099,1.06494,0.94578,0.0007526,0.0007526,0.0007526
65,39.8935,0.5675,1.01288,0.85338,0.99341,1,0.995,0.8484,0.75099,1.06494,0.94578,0.0007328,0.0007328,0.0007328
66,40.4381,0.85963,0.96345,1.05641,0.9937,1,0.995,0.84054,0.77784,1.07214,0.95597,0.000713,0.000713,0.000713
67,40.9416,0.65754,0.96756,0.97061,0.9937,1,0.995,0.84054,0.77784,1.07214,0.95597,0.0006932,0.0006932,0.0006932
68,40.8179,0.8918,1.00076,1.0559,0.99373,1,0.995,0.87183,0.65792,1.01724,0.92934,0.0006734,0.0006734,0.0006734
69,41.3135,0.6333,0.95712,0.96984,0.99373,1,0.995,0.87183,0.65792,1.01724,0.92934,0.0006536,0.0006536,0.0006536
